"","date","startTime","endTime","sleepDuration","awokenCount","restlessCount","awakeTime","restlessTime","minAsleep","sleepQualityScoreB","sleepQualityScoreA"
"116","2015-08-10","22:32","6:34","482","NULL","5","NULL","NULL","467","9.5","93"
"117","2015-08-11","22:52","5:35","403","NULL","7","NULL","NULL","391","9","89"
"118","2015-08-12","21:23","4:51","448","NULL","14","NULL","NULL","404","8.5","87"
"119","2015-08-14","23:26","6:43","437","NULL","10","NULL","NULL","412","9","88"
"120","2015-08-15","23:46","6:53","426","NULL","5","NULL","NULL","413","9.5","93"
"121","2015-08-16","23:21","7:32","490","NULL","9","NULL","NULL","476","9.5","95"
"122","2015-08-16","14:45","15:51","66","NULL","0","NULL","NULL","62","3.5","37"
"123","2015-08-17","22:59","6:23","444","NULL","6","NULL","NULL","422","9.5","97"
"124","2015-08-17","21:24","22:59","95","NULL","3","NULL","NULL","79","4","42"
"125","2015-08-18","23:00","6:58","478","NULL","7","NULL","NULL","450","9.5","95"
"126","2015-08-20","0:50","6:51","361","NULL","5","NULL","NULL","342","8","81"
"127","2015-08-22","23:38","6:04","386","NULL","3","NULL","NULL","369","9","88"
"128","2015-08-23","6:26","8:18","112","NULL","2","NULL","NULL","71","4.5","45"
"129","2015-08-28","21:03","1:22","258","NULL","9","NULL","NULL","235","6","60"
"130","2015-08-28","4:38","6:08","90","NULL","1","NULL","NULL","83","4","41"
"131","2015-08-30","23:36","8:02","506","NULL","11","NULL","NULL","484","9.5","94"
"132","2015-08-31","23:19","5:10","350","NULL","5","NULL","NULL","333","7.5","76"
"133","2015-09-01","21:40","6:13","513","NULL","9","NULL","NULL","487","9.5","94"
"134","2015-09-02","21:51","6:06","494","NULL","7","NULL","NULL","481","9.5","97"
"135","2015-09-03","23:45","4:33","288","NULL","4","NULL","NULL","259","7","71"
"136","2015-09-04","22:48","6:11","443","NULL","5","NULL","NULL","432","9.5","97"
"137","2015-09-05","22:52","3:17","265","NULL","4","NULL","NULL","251","6.5","67"
"138","2015-09-08","22:44","5:54","430","NULL","12","NULL","NULL","386","8.5","85"
"139","2015-09-08","21:31","22:58","87","NULL","1","NULL","NULL","75","4","41"
"140","2015-09-10","23:34","6:33","419","NULL","6","NULL","NULL","396","9.5","94"
"141","2015-09-10","7:41","9:27","106","NULL","2","NULL","NULL","92","3","31"
"142","2015-09-11","21:54","6:05","491","NULL","5","NULL","NULL","479","9.5","97"
"143","2015-09-12","23:04","6:33","449","NULL","9","NULL","NULL","427","9","90"
"144","2015-09-13","4:03","9:34","331","NULL","1","NULL","NULL","328","8","79"
"145","2015-09-14","23:04","6:14","430","NULL","3","NULL","NULL","427","9.5","94"
"146","2015-09-15","22:49","6:13","444","NULL","4","NULL","NULL","430","9.5","95"
"147","2015-09-16","22:29","6:13","464","NULL","7","NULL","NULL","445","9","92"
"148","2015-09-18","21:54","2:16","262","NULL","7","NULL","NULL","243","6","59"
"149","2015-09-18","4:18","6:15","117","NULL","1","NULL","NULL","111","4","38"
"150","2015-09-19","21:00","1:01","241","NULL","4","NULL","NULL","233","6","62"
"151","2015-09-19","2:34","6:24","230","NULL","7","NULL","NULL","218","6","58"
"152","2015-09-19","14:05","15:35","90","NULL","0","NULL","NULL","87","3.5","36"
"153","2015-09-20","22:43","7:23","520","NULL","11","NULL","NULL","496","9","91"
