"","time","steps","day"
"257","16:00:00",0,"2015-05-10"
"258","16:15:00",10,"2015-05-10"
"259","16:30:00",0,"2015-05-10"
"260","16:45:00",78,"2015-05-10"
"261","17:00:00",71,"2015-05-10"
"262","17:15:00",353,"2015-05-10"
"263","17:30:00",107,"2015-05-10"
"264","17:45:00",59,"2015-05-10"
"265","18:00:00",32,"2015-05-10"
"266","18:15:00",0,"2015-05-10"
"267","18:30:00",0,"2015-05-10"
"268","18:45:00",0,"2015-05-10"
"269","19:00:00",77,"2015-05-10"
"270","19:15:00",247,"2015-05-10"
"271","19:30:00",68,"2015-05-10"
"272","19:45:00",0,"2015-05-10"
"273","20:00:00",0,"2015-05-10"
"274","20:15:00",0,"2015-05-10"
"275","20:30:00",0,"2015-05-10"
"276","20:45:00",0,"2015-05-10"
"277","21:00:00",58,"2015-05-10"
"278","21:15:00",59,"2015-05-10"
"279","21:30:00",0,"2015-05-10"
"280","21:45:00",101,"2015-05-10"
"281","22:00:00",221,"2015-05-10"
"282","22:15:00",0,"2015-05-10"
"283","22:30:00",0,"2015-05-10"
"284","22:45:00",0,"2015-05-10"
"285","23:00:00",0,"2015-05-10"
"286","23:15:00",0,"2015-05-10"
"287","23:30:00",0,"2015-05-10"
"288","23:45:00",0,"2015-05-10"
"289","00:00:00",0,"2015-05-11"
"290","00:15:00",0,"2015-05-11"
"291","00:30:00",23,"2015-05-11"
"292","00:45:00",0,"2015-05-11"
"293","01:00:00",0,"2015-05-11"
"294","01:15:00",0,"2015-05-11"
"295","01:30:00",0,"2015-05-11"
"296","01:45:00",0,"2015-05-11"
"297","02:00:00",0,"2015-05-11"
"298","02:15:00",0,"2015-05-11"
"299","02:30:00",0,"2015-05-11"
"300","02:45:00",0,"2015-05-11"
"301","03:00:00",0,"2015-05-11"
"302","03:15:00",0,"2015-05-11"
"303","03:30:00",0,"2015-05-11"
"304","03:45:00",0,"2015-05-11"
"305","04:00:00",0,"2015-05-11"
"306","04:15:00",0,"2015-05-11"
"307","04:30:00",0,"2015-05-11"
"308","04:45:00",0,"2015-05-11"
"309","05:00:00",0,"2015-05-11"
"310","05:15:00",0,"2015-05-11"
"311","05:30:00",0,"2015-05-11"
"312","05:45:00",0,"2015-05-11"
"313","06:00:00",14,"2015-05-11"
"314","06:15:00",39,"2015-05-11"
"315","06:30:00",236,"2015-05-11"
"316","06:45:00",859,"2015-05-11"
"317","07:00:00",196,"2015-05-11"
"318","07:15:00",322,"2015-05-11"
"319","07:30:00",575,"2015-05-11"
"320","07:45:00",253,"2015-05-11"
"321","08:00:00",109,"2015-05-11"
"322","08:15:00",0,"2015-05-11"
"323","08:30:00",5,"2015-05-11"
"324","08:45:00",196,"2015-05-11"
"325","09:00:00",89,"2015-05-11"
"326","09:15:00",0,"2015-05-11"
"327","09:30:00",0,"2015-05-11"
"328","09:45:00",104,"2015-05-11"
"329","10:00:00",375,"2015-05-11"
"330","10:15:00",115,"2015-05-11"
"331","10:30:00",14,"2015-05-11"
"332","10:45:00",131,"2015-05-11"
"333","11:00:00",275,"2015-05-11"
"334","11:15:00",49,"2015-05-11"
"335","11:30:00",0,"2015-05-11"
"336","11:45:00",49,"2015-05-11"
"337","12:00:00",19,"2015-05-11"
"338","12:15:00",207,"2015-05-11"
"339","12:30:00",0,"2015-05-11"
"340","12:45:00",170,"2015-05-11"
"341","13:00:00",35,"2015-05-11"
"342","13:15:00",6,"2015-05-11"
"343","13:30:00",0,"2015-05-11"
"344","13:45:00",231,"2015-05-11"
"345","14:00:00",172,"2015-05-11"
"346","14:15:00",0,"2015-05-11"
"347","14:30:00",0,"2015-05-11"
"348","14:45:00",7,"2015-05-11"
"349","15:00:00",218,"2015-05-11"
"350","15:15:00",110,"2015-05-11"
"351","15:30:00",34,"2015-05-11"
"352","15:45:00",0,"2015-05-11"
"353","16:00:00",0,"2015-05-11"
"354","16:15:00",0,"2015-05-11"
