"","time","steps","day"
"328","09:45:00",70,"2015-01-04"
"329","10:00:00",169,"2015-01-04"
"330","10:15:00",325,"2015-01-04"
"331","10:30:00",129,"2015-01-04"
"332","10:45:00",91,"2015-01-04"
"333","11:00:00",0,"2015-01-04"
"334","11:15:00",0,"2015-01-04"
"335","11:30:00",192,"2015-01-04"
"336","11:45:00",0,"2015-01-04"
"337","12:00:00",245,"2015-01-04"
"338","12:15:00",325,"2015-01-04"
"339","12:30:00",383,"2015-01-04"
"340","12:45:00",0,"2015-01-04"
"341","13:00:00",229,"2015-01-04"
"342","13:15:00",432,"2015-01-04"
"343","13:30:00",292,"2015-01-04"
"344","13:45:00",40,"2015-01-04"
"345","14:00:00",0,"2015-01-04"
"346","14:15:00",19,"2015-01-04"
"347","14:30:00",49,"2015-01-04"
"348","14:45:00",0,"2015-01-04"
"349","15:00:00",0,"2015-01-04"
"350","15:15:00",0,"2015-01-04"
"351","15:30:00",0,"2015-01-04"
"352","15:45:00",0,"2015-01-04"
"353","16:00:00",0,"2015-01-04"
"354","16:15:00",0,"2015-01-04"
"355","16:30:00",0,"2015-01-04"
"356","16:45:00",45,"2015-01-04"
"357","17:00:00",50,"2015-01-04"
"358","17:15:00",311,"2015-01-04"
"359","17:30:00",368,"2015-01-04"
"360","17:45:00",65,"2015-01-04"
"361","18:00:00",0,"2015-01-04"
"362","18:15:00",67,"2015-01-04"
"363","18:30:00",62,"2015-01-04"
"364","18:45:00",8,"2015-01-04"
"365","19:00:00",23,"2015-01-04"
"366","19:15:00",0,"2015-01-04"
"367","19:30:00",136,"2015-01-04"
"368","19:45:00",69,"2015-01-04"
"369","20:00:00",18,"2015-01-04"
"370","20:15:00",0,"2015-01-04"
"371","20:30:00",36,"2015-01-04"
"372","20:45:00",0,"2015-01-04"
"373","21:00:00",0,"2015-01-04"
"374","21:15:00",61,"2015-01-04"
"375","21:30:00",0,"2015-01-04"
"376","21:45:00",0,"2015-01-04"
"377","22:00:00",17,"2015-01-04"
"378","22:15:00",49,"2015-01-04"
"379","22:30:00",5,"2015-01-04"
"380","22:45:00",0,"2015-01-04"
"381","23:00:00",0,"2015-01-04"
"382","23:15:00",0,"2015-01-04"
"383","23:30:00",0,"2015-01-04"
"384","23:45:00",0,"2015-01-04"
"385","00:00:00",0,"2015-01-05"
"386","00:15:00",0,"2015-01-05"
"387","00:30:00",0,"2015-01-05"
"388","00:45:00",0,"2015-01-05"
"389","01:00:00",0,"2015-01-05"
"390","01:15:00",7,"2015-01-05"
"391","01:30:00",0,"2015-01-05"
"392","01:45:00",0,"2015-01-05"
"393","02:00:00",0,"2015-01-05"
"394","02:15:00",8,"2015-01-05"
"395","02:30:00",0,"2015-01-05"
"396","02:45:00",0,"2015-01-05"
"397","03:00:00",0,"2015-01-05"
"398","03:15:00",0,"2015-01-05"
"399","03:30:00",0,"2015-01-05"
"400","03:45:00",0,"2015-01-05"
"401","04:00:00",0,"2015-01-05"
"402","04:15:00",0,"2015-01-05"
"403","04:30:00",0,"2015-01-05"
"404","04:45:00",0,"2015-01-05"
"405","05:00:00",0,"2015-01-05"
"406","05:15:00",0,"2015-01-05"
"407","05:30:00",0,"2015-01-05"
"408","05:45:00",0,"2015-01-05"
"409","06:00:00",12,"2015-01-05"
"410","06:15:00",8,"2015-01-05"
"411","06:30:00",5,"2015-01-05"
"412","06:45:00",19,"2015-01-05"
"413","07:00:00",40,"2015-01-05"
"414","07:15:00",0,"2015-01-05"
"415","07:30:00",9,"2015-01-05"
"416","07:45:00",27,"2015-01-05"
"417","08:00:00",162,"2015-01-05"
"418","08:15:00",359,"2015-01-05"
"419","08:30:00",181,"2015-01-05"
"420","08:45:00",290,"2015-01-05"
"421","09:00:00",423,"2015-01-05"
"422","09:15:00",39,"2015-01-05"
"423","09:30:00",210,"2015-01-05"
"424","09:45:00",12,"2015-01-05"
"425","10:00:00",120,"2015-01-05"
"426","10:15:00",0,"2015-01-05"
"427","10:30:00",145,"2015-01-05"
"428","10:45:00",35,"2015-01-05"
"429","11:00:00",28,"2015-01-05"
"430","11:15:00",230,"2015-01-05"
"431","11:30:00",161,"2015-01-05"
"432","11:45:00",135,"2015-01-05"
"433","12:00:00",109,"2015-01-05"
"434","12:15:00",21,"2015-01-05"
"435","12:30:00",36,"2015-01-05"
"436","12:45:00",0,"2015-01-05"
"437","13:00:00",117,"2015-01-05"
"438","13:15:00",27,"2015-01-05"
"439","13:30:00",0,"2015-01-05"
"440","13:45:00",380,"2015-01-05"
"441","14:00:00",177,"2015-01-05"
"442","14:15:00",129,"2015-01-05"
"443","14:30:00",0,"2015-01-05"
"444","14:45:00",0,"2015-01-05"
"445","15:00:00",0,"2015-01-05"
"446","15:15:00",58,"2015-01-05"
"447","15:30:00",0,"2015-01-05"
"448","15:45:00",0,"2015-01-05"
"449","16:00:00",14,"2015-01-05"
"450","16:15:00",76,"2015-01-05"
"451","16:30:00",0,"2015-01-05"
"452","16:45:00",93,"2015-01-05"
"453","17:00:00",79,"2015-01-05"
"454","17:15:00",257,"2015-01-05"
"455","17:30:00",417,"2015-01-05"
"456","17:45:00",94,"2015-01-05"
