"time","steps","date","wday","hour","minute","month"
2014-10-02 06:15:00,0,"2014-10-02","Thurs",6,15,10
2014-10-02 06:30:00,0,"2014-10-02","Thurs",6,30,10
2014-10-02 06:45:00,0,"2014-10-02","Thurs",6,45,10
2014-10-02 07:00:00,0,"2014-10-02","Thurs",7,0,10
2014-10-02 07:15:00,0,"2014-10-02","Thurs",7,15,10
2014-10-02 07:30:00,0,"2014-10-02","Thurs",7,30,10
2014-10-02 07:45:00,0,"2014-10-02","Thurs",7,45,10
2014-10-02 08:00:00,0,"2014-10-02","Thurs",8,0,10
2014-10-02 08:15:00,0,"2014-10-02","Thurs",8,15,10
2014-10-02 08:30:00,0,"2014-10-02","Thurs",8,30,10
2014-10-02 08:45:00,0,"2014-10-02","Thurs",8,45,10
2014-10-02 09:00:00,0,"2014-10-02","Thurs",9,0,10
2014-10-02 09:15:00,0,"2014-10-02","Thurs",9,15,10
2014-10-02 09:30:00,0,"2014-10-02","Thurs",9,30,10
2014-10-02 09:45:00,0,"2014-10-02","Thurs",9,45,10
2014-10-02 10:00:00,0,"2014-10-02","Thurs",10,0,10
2014-10-02 10:15:00,0,"2014-10-02","Thurs",10,15,10
2014-10-02 10:30:00,0,"2014-10-02","Thurs",10,30,10
2014-10-02 10:45:00,0,"2014-10-02","Thurs",10,45,10
2014-10-02 11:00:00,0,"2014-10-02","Thurs",11,0,10
2014-10-02 11:15:00,0,"2014-10-02","Thurs",11,15,10
2014-10-02 11:30:00,0,"2014-10-02","Thurs",11,30,10
2014-10-02 11:45:00,0,"2014-10-02","Thurs",11,45,10
2014-10-02 12:00:00,0,"2014-10-02","Thurs",12,0,10
2014-10-02 12:15:00,0,"2014-10-02","Thurs",12,15,10
2014-10-02 12:30:00,0,"2014-10-02","Thurs",12,30,10
2014-10-02 12:45:00,0,"2014-10-02","Thurs",12,45,10
2014-10-02 13:00:00,0,"2014-10-02","Thurs",13,0,10
2014-10-02 13:15:00,0,"2014-10-02","Thurs",13,15,10
2014-10-02 13:30:00,0,"2014-10-02","Thurs",13,30,10
2014-10-02 13:45:00,0,"2014-10-02","Thurs",13,45,10
2014-10-02 14:00:00,0,"2014-10-02","Thurs",14,0,10
2014-10-02 14:15:00,0,"2014-10-02","Thurs",14,15,10
