"date","startTime","endTime","sleepDuration","awokenCount","restlessCount","awakeTime","restlessTime","minAsleep","sleepQualityScoreB","sleepQualityScoreA"
"105","2015-01-09","22:07","4:11","364","NULL","4","NULL","NULL","355","8","80"
"106","2014-11-08","21:41","6:13","512","NULL","6","NULL","NULL","488","9.5","93"
"107","2015-01-22","21:42","5:25","463","NULL","9","NULL","NULL","441","9","90"
"108","2015-03-11","21:16","4:22","426","NULL","6","NULL","NULL","407","9","90"
"109","2014-11-09","22:45","6:09","444","NULL","5","NULL","NULL","431","9.5","94"
"110","2015-09-13","20:40","4:15","455","NULL","8","NULL","NULL","429","9","89"
"111","2014-11-01","21:43","5:53","490","NULL","4","NULL","NULL","481","9.5","97"
"112","2014-12-16","21:11","4:15","424","NULL","7","NULL","NULL","404","9","90"
"113","2015-03-08","21:52","7:22","570","NULL","20","NULL","NULL","517","8.5","86"
"114","2015-03-31","21:56","4:17","381","NULL","4","NULL","NULL","373","8.5","85"
"115","2014-11-06","21:23","4:37","434","NULL","5","NULL","NULL","410","9","92"
"116","2014-10-29","21:29","2:02","273","NULL","6","NULL","NULL","256","6.5","64"
"117","2015-08-10","21:29","5:11","462","NULL","7","NULL","NULL","436","9","90"
"118","2014-11-20","21:06","4:32","446","NULL","4","NULL","NULL","433","9","92"
"119","2014-11-21","21:21","5:38","497","NULL","3","NULL","NULL","483","9.5","96"
"120","2015-06-10","21:20","4:17","417","NULL","7","NULL","NULL","388","8.5","86"
"121","2015-05-07","22:22","5:48","446","NULL","10","NULL","NULL","414","8.5","86"
"122","2014-11-10","21:07","4:55","468","NULL","3","NULL","NULL","460","9.5","96"
"123","2015-06-08","21:47","5:43","476","NULL","11","NULL","NULL","432","8.5","84"
"124","2015-09-09","21:16","4:16","420","NULL","7","NULL","NULL","399","9","90"
"125","2015-03-07","21:57","5:31","454","NULL","4","NULL","NULL","438","9.5","93"
"126","2015-09-06","21:45","5:27","462","NULL","7","NULL","NULL","442","9","91"
"127","2015-04-24","20:59","5:49","530","NULL","7","NULL","NULL","516","9.5","95"
"128","2015-08-14","21:21","5:11","470","NULL","6","NULL","NULL","455","9.5","93"
"129","2015-07-06","21:29","5:25","476","NULL","10","NULL","NULL","443","9","88"
"130","2014-12-07","22:12","6:59","527","NULL","14","NULL","NULL","472","8.5","84"
"131","2015-01-07","21:54","4:51","417","NULL","8","NULL","NULL","399","9","89"
"132","2015-08-17","21:37","4:55","438","NULL","5","NULL","NULL","428","9.5","94"
"133","2015-07-26","18:38","2:13","455","NULL","5","NULL","NULL","443","9.5","94"
"134","2015-07-22","21:21","4:15","414","NULL","3","NULL","NULL","401","9","90"
"135","2015-06-19","21:36","5:44","488","NULL","8","NULL","NULL","460","9","90"
"136","2015-03-13","21:45","5:47","482","NULL","9","NULL","NULL","460","9","92"
"137","2015-01-03","22:12","8:02","590","NULL","9","NULL","NULL","572","9.5","96"
"138","2014-11-04","21:05","4:15","430","NULL","4","NULL","NULL","408","9","91"
"139","2015-06-12","21:37","4:58","441","NULL","9","NULL","NULL","410","8.5","87"
"140","2015-06-01","21:50","5:45","475","NULL","8","NULL","NULL","453","9","91"
"141","2015-02-03","20:50","4:45","475","NULL","4","NULL","NULL","449","9","88"
"142","2015-03-04","20:53","4:17","444","NULL","4","NULL","NULL","430","9","92"
"143","2014-11-25","22:16","4:15","359","NULL","6","NULL","NULL","342","8","78"
"144","2015-04-27","21:29","6:00","511","NULL","4","NULL","NULL","499","9.5","96"
"145","2015-03-02","21:23","4:41","438","NULL","4","NULL","NULL","422","9","92"
"146","2015-02-11","21:07","4:28","441","NULL","8","NULL","NULL","418","9","90"
"147","2015-07-23","21:09","4:15","426","NULL","10","NULL","NULL","409","9","91"
"148","2015-02-28","22:03","6:09","486","NULL","4","NULL","NULL","480","9.5","96"
"149","2014-11-15","21:11","5:10","479","NULL","11","NULL","NULL","453","9","90"
"150","2015-06-26","21:25","6:15","530","NULL","14","NULL","NULL","479","9","90"
"151","2015-05-20","21:24","4:50","446","NULL","10","NULL","NULL","417","9","90"
"152","2014-12-25","21:54","7:30","576","NULL","7","NULL","NULL","560","9.5","97"
"153","2015-06-02","21:17","4:15","418","NULL","6","NULL","NULL","397","9","89"
"154","2015-02-10","21:15","4:30","435","NULL","6","NULL","NULL","419","9.5","93"
"155","2014-11-23","23:19","7:47","508","NULL","8","NULL","NULL","471","9","88"
"156","2015-05-29","21:29","5:01","452","NULL","6","NULL","NULL","428","9","89"
"157","2014-11-28","23:14","7:00","466","NULL","9","NULL","NULL","440","9","90"
"158","2014-12-26","22:27","2:49","262","NULL","3","NULL","NULL","258","7","68"
"159","2015-09-07","17:24","21:31","247","NULL","17","NULL","NULL","154","3","28"
"160","2015-07-18","21:23","4:30","427","NULL","6","NULL","NULL","402","9","89"
"161","2015-02-20","20:57","5:54","537","NULL","10","NULL","NULL","500","9","91"
"162","2014-10-30","21:18","4:22","424","NULL","3","NULL","NULL","414","9.5","95"
"163","2015-01-18","0:20","7:34","434","NULL","4","NULL","NULL","421","9.5","93"
"164","2015-03-15","22:20","7:24","544","NULL","6","NULL","NULL","522","9.5","94"
"165","2015-01-01","22:12","7:54","582","NULL","7","NULL","NULL","553","9.5","93"
"166","2015-09-11","21:21","4:41","440","NULL","7","NULL","NULL","415","9","89"
"167","2015-06-29","21:26","5:40","494","NULL","9","NULL","NULL","468","9","91"
"168","2015-01-10","23:03","8:09","546","NULL","4","NULL","NULL","534","9.5","97"
"169","2014-12-12","21:15","5:45","510","NULL","5","NULL","NULL","485","9.5","93"
"170","2014-12-28","23:01","7:04","483","NULL","4","NULL","NULL","470","9.5","97"
"171","2015-07-24","21:25","5:02","457","NULL","3","NULL","NULL","449","9.5","96"
"172","2015-06-16","21:24","4:16","412","NULL","11","NULL","NULL","389","8.5","86"
"173","2015-02-06","21:37","5:55","498","NULL","8","NULL","NULL","489","9.5","97"
"174","2014-12-02","21:41","4:16","395","NULL","1","NULL","NULL","389","9","89"
"175","2015-08-18","21:12","22:46","94","NULL","2","NULL","NULL","88","4","41"
"176","2015-06-17","21:24","4:17","413","NULL","6","NULL","NULL","397","9","90"
"177","2015-07-04","22:20","5:12","412","NULL","11","NULL","NULL","374","8","80"
"178","2015-02-24","21:08","4:29","441","NULL","3","NULL","NULL","425","9","92"
"179","2014-12-14","22:24","6:36","492","NULL","5","NULL","NULL","473","9.5","93"
"180","2015-04-06","21:35","5:48","493","NULL","8","NULL","NULL","470","9","92"
