"","time","steps","date","wday","hour","minute","month"
"130",2015-01-02 08:15:00,0,"2015-01-02","Fri",8,15,1
"131",2015-01-02 08:30:00,0,"2015-01-02","Fri",8,30,1
"132",2015-01-02 08:45:00,0,"2015-01-02","Fri",8,45,1
"133",2015-01-02 09:00:00,0,"2015-01-02","Fri",9,0,1
"134",2015-01-02 09:15:00,0,"2015-01-02","Fri",9,15,1
"135",2015-01-02 09:30:00,0,"2015-01-02","Fri",9,30,1
"136",2015-01-02 09:45:00,0,"2015-01-02","Fri",9,45,1
"137",2015-01-02 10:00:00,0,"2015-01-02","Fri",10,0,1
"138",2015-01-02 10:15:00,0,"2015-01-02","Fri",10,15,1
"139",2015-01-02 10:30:00,0,"2015-01-02","Fri",10,30,1
"140",2015-01-02 10:45:00,0,"2015-01-02","Fri",10,45,1
"141",2015-01-02 11:00:00,0,"2015-01-02","Fri",11,0,1
"142",2015-01-02 11:15:00,0,"2015-01-02","Fri",11,15,1
"143",2015-01-02 11:30:00,0,"2015-01-02","Fri",11,30,1
"144",2015-01-02 11:45:00,0,"2015-01-02","Fri",11,45,1
"145",2015-01-02 12:00:00,0,"2015-01-02","Fri",12,0,1
"146",2015-01-02 12:15:00,0,"2015-01-02","Fri",12,15,1
"147",2015-01-02 12:30:00,0,"2015-01-02","Fri",12,30,1
"148",2015-01-02 12:45:00,0,"2015-01-02","Fri",12,45,1
"149",2015-01-02 13:00:00,0,"2015-01-02","Fri",13,0,1
"150",2015-01-02 13:15:00,0,"2015-01-02","Fri",13,15,1
"151",2015-01-02 13:30:00,0,"2015-01-02","Fri",13,30,1
"152",2015-01-02 13:45:00,0,"2015-01-02","Fri",13,45,1
"153",2015-01-02 14:00:00,0,"2015-01-02","Fri",14,0,1
"154",2015-01-02 14:15:00,0,"2015-01-02","Fri",14,15,1
"155",2015-01-02 14:30:00,0,"2015-01-02","Fri",14,30,1
"156",2015-01-02 14:45:00,0,"2015-01-02","Fri",14,45,1
"157",2015-01-02 15:00:00,0,"2015-01-02","Fri",15,0,1
"158",2015-01-02 15:15:00,0,"2015-01-02","Fri",15,15,1
